101,Bhanu,Singh,bhanu37,bhanu@gmail.com,Khargone,451660,12345
102,Arun,Solanki,arun_01,arun@gmail.com,Barwani,451205,15335
103,Ram,Chouhan,ram__,ram@gmail.com,Khargone,451660,12123
104,Shanti,Bai,shan_ti,shanti@gmail.com,Rajpur,481212,87876
105,Krishna,Yadav,kryadav,krishna@gmail.com,Khargone,456082,89564
106,Sandhya,Kushwah,sandhu,sandhya@gmail.com,Khargone,451660,12342
107,Sraddha,Choudhary,schoudhary,shraddha@gmail.com,Barwani,451205,76573
108,Amit,Singh,amit_56,amit@gmail.com,Khargone,451660,87657
109,Raju,Pal,r_pal,raju@gmail.com,Rajpur,481212,98234
110,Suman,Sisodiya,suman_sis,suman@gmail.com,Barwani,451205,43453
111,Utkarsh,Shrivastava,utkarsh34,utkarsh@gmail.com,khargone,456156,ironman

